"","Estimate","Est.Error","Q2.5","Q5","Q10","Q90","Q95","Q97.5"
"b_slp46",-0.0902230670184372,0.423195378136488,-0.951717437313584,-0.785384669773784,-0.63150874174212,0.441056809634257,0.583740812919535,0.729034710477114
"b_slp47",-0.249571503631119,0.422856668481884,-1.05980321885923,-0.931842613310377,-0.785222304834794,0.281724774075388,0.441992913467988,0.562658141339549
"b_slp48",-0.332588107057502,0.389995942150815,-1.08908034945503,-0.964265148913506,-0.811871863168748,0.155195827105904,0.313086303170241,0.456589520041935
"b_slp49",-0.310713701553609,0.373810016403881,-1.05692103571928,-0.930556964591986,-0.786324673643146,0.163595188457876,0.32178635420818,0.439210223452999
"b_slp50",-0.254890540805001,0.347511015908963,-0.962044167560393,-0.819306514944183,-0.703165238582761,0.192549151585145,0.318046568525277,0.429440945870508
"b_slp51",-0.188275122351176,0.316460154578644,-0.789629779186854,-0.691771184657682,-0.584284210998441,0.21696457264668,0.338384368507958,0.439071351192597
"b_slp52",-0.014674670165611,0.321796544946624,-0.651359518155574,-0.533564616119433,-0.424852101026339,0.384216922593726,0.517577035461719,0.634502061145888
"b_slp53",0.123905959667134,0.308978191096116,-0.480518260848429,-0.381403585825484,-0.268441377511226,0.513819679155985,0.643475334382337,0.741227822915921
"b_slp54",0.202688490152957,0.310847622024912,-0.409556844708853,-0.317900439389774,-0.196996167202269,0.600315824927588,0.694336892233811,0.79558994383323
"b_slp55",0.276051360836344,0.291822471986052,-0.292615947724121,-0.204347076405857,-0.0941971317968966,0.653619177542456,0.743686876332922,0.844206181541501
"b_slp56",0.359630538388365,0.29901070154006,-0.239734639272958,-0.147127722684491,-0.0272697174430302,0.743736083625688,0.832555434196782,0.913828995952955
"b_slp57",0.201754835803245,0.310012145317879,-0.41182106662938,-0.300333243633314,-0.19525234024928,0.587218579687498,0.71184443938637,0.804962839580474
"b_slp58",0.0509039822046635,0.323368509196122,-0.604557037221628,-0.47808084905236,-0.362109850928051,0.446724499661521,0.57013031027728,0.667182572173234
"b_slp59",0.163831028202593,0.327572592871769,-0.451853859500226,-0.369832569445778,-0.256041917585739,0.57162708929627,0.70671186744891,0.826866321270333
"b_slp60",0.280852688843563,0.326880510393167,-0.373732602463931,-0.271455825282059,-0.13986483724935,0.69416499215878,0.810178002237827,0.906909969787366
"b_slp61",0.407519367049336,0.332120459254062,-0.21747756611275,-0.1323854246785,-0.016757777272451,0.842246953185771,0.957655865460863,1.05833014176615
"b_slp62",0.499340904146896,0.342176341592357,-0.192587783124869,-0.0752396614730625,0.0611747623461032,0.931182163434012,1.04528750980893,1.14252932811865
"b_slp63",0.575219815855197,0.538772064901559,-0.484019309425888,-0.331828395061484,-0.125969431867502,1.28265742380512,1.4800827393533,1.64552245793091
"b_slp64",0.456201920475101,0.524101949930408,-0.607612385468539,-0.412473092675964,-0.211631665624708,1.11399864934429,1.28283915174099,1.45635179611742
"b_slp65",0.430919868980803,0.466928898450915,-0.486221879398786,-0.344000710555589,-0.158210009800279,1.03412025605254,1.21074240252254,1.3388022318982
"b_slp66",0.25124417794236,0.441268520047281,-0.609000951219236,-0.457037356917476,-0.310610749023554,0.818690216611258,0.955611612884701,1.09096301105015
"b_slp67",-0.0256645861243621,0.450671284397305,-0.892081081789683,-0.757109043300864,-0.59045414848171,0.552122338293067,0.732218246685729,0.900807639408787
"b_slp68",-0.204760972979578,0.429451620325462,-1.00777471685476,-0.872325663618748,-0.749299501586223,0.341568459488762,0.509142201798793,0.682342994789919
"b_slp69",-0.293470183273007,0.40199612973235,-1.05523259092943,-0.949144495607966,-0.797315978105247,0.212426630392783,0.383435304122879,0.518694580972603
"b_slp70",-0.238959949561878,0.37277973563986,-0.960933959570898,-0.845969492714405,-0.718601938115391,0.243484191678624,0.362043125194127,0.493220663557571
"b_slp71",-0.158801262297615,0.351822726867207,-0.833318192704077,-0.722434510203745,-0.59806967837318,0.289713413815152,0.415483690731923,0.535492136189737
"b_slp72",-0.151946156798159,0.346878778115911,-0.811537742200664,-0.694334586327226,-0.586218129365119,0.289499356916068,0.431562244335536,0.575517444732463
"b_slp73",-0.0336850592315759,0.323729603130247,-0.652659469134892,-0.553994729639889,-0.432671594012993,0.396740926031412,0.495678173565779,0.603119180474355
"b_slp74",0.118006900570827,0.313240876734038,-0.507256195217608,-0.397571980081256,-0.289939912054038,0.52803923472099,0.62737894978998,0.736175751354461
"b_slp75",0.177333292326877,0.317154562236319,-0.479939482455182,-0.356123425916127,-0.22530880117298,0.569352683307949,0.691493760693525,0.786514634716242
"b_slp76",0.277003861303376,0.302003391431639,-0.286824145626675,-0.193203787818533,-0.0904061917417636,0.652739941370132,0.774357313501622,0.876722671187041
"b_slp77",0.378268508142104,0.288523070970163,-0.210294606497541,-0.111938582407427,0.00724369787357552,0.741477764475648,0.854857816752418,0.947194868622739
"b_slp78",0.233050308261722,0.300387328149554,-0.358790346990841,-0.27550866519332,-0.154330008931395,0.62749744944848,0.746657999222239,0.825951155204093
"b_slp79",0.0666388752769656,0.310775473078343,-0.564796270594484,-0.428036355514228,-0.321309217582571,0.46448944362243,0.585690215552905,0.710445859502253
"b_slp80",0.183551897855124,0.324475108533878,-0.469823512130177,-0.360644029039283,-0.23692958174553,0.588739387459938,0.711635605894428,0.82267023603458
"b_slp81",0.300348773349866,0.332277915134404,-0.360718555002604,-0.257520647140064,-0.13360147559725,0.728207139249573,0.828654174156915,0.940404908084818
"b_slp82",0.402156690318021,0.33602240960343,-0.244986248929904,-0.13649123454731,-0.0263917396242478,0.826613016101235,0.942972814616675,1.0384804873327
