"","Estimate","Est.Error","Q2.5","Q5","Q10","Q90","Q95","Q97.5"
"b_slp:era1989M2013307",0.074565565075215,0.388231817692633,-0.698905067484587,-0.553884960691383,-0.423935126626173,0.572097915220315,0.707894243446291,0.823369126471649
"b_slp:era1989M2013308",-0.016013190258731,0.395577857649758,-0.783502731102537,-0.6718442863483,-0.519007666896706,0.490685983689649,0.642509687176818,0.763004287127203
"b_slp:era1989M2013309",-0.00464939175750923,0.396225521396234,-0.811819933931091,-0.685579441577506,-0.499045078442704,0.497647351298726,0.638542751342963,0.775447198595352
"b_slp:era1989M2013310",0.00533416755388264,0.416533279936751,-0.770768752720676,-0.669483551736408,-0.527428725836455,0.54793247161448,0.688532052742775,0.815372274550484
"b_slp:era1989M2013311",-0.0565169166685039,0.435407201051464,-0.917829512549404,-0.753797960564105,-0.606319355052348,0.489139790237556,0.655917322147568,0.791587995560873
"b_slp:era1989M2013312",-0.0821956551144409,0.465841696920641,-0.988615680237665,-0.829150990488114,-0.669916272186647,0.541624923281482,0.696501391004623,0.841935589293872
"b_slp:era1989M2013313",-0.152346858678061,0.446520006074991,-1.03156612164231,-0.889421964891082,-0.72047032401876,0.41617439641101,0.573804488490336,0.743717486772076
"b_slp:era1989M2013314",-0.258837390524918,0.472767962697776,-1.14425843115891,-1.0169120011465,-0.8464706760652,0.355785076422957,0.51517779995059,0.674327989741121
"b_slp:era1989M2013315",-0.521422285531398,1.0775838139875,-2.62858996760407,-2.29769282286984,-1.89740945306257,0.852660854611731,1.21469433906255,1.47982469056516
"b_slp:era1989M2013316",0.359873670047939,1.09944335623943,-1.70551956987081,-1.46861523668008,-1.0474407084891,1.74199540717816,2.13991487662144,2.45704512937793
"b_slp:era1989M2013317",0.876609233710672,1.04777533913401,-1.2734185724677,-0.84324178922058,-0.438765815738614,2.18509533641749,2.55467411242571,2.9142435888935
"b_slp:era1989M2013318",1.66788416769417,1.08575574087471,-0.579133236673124,-0.185986688488977,0.280389969380292,3.06622316082054,3.41154023377125,3.7085426847014
"b_slp:era1989M2013319",1.4155699873999,0.883100512655578,-0.308039029632741,-0.0373041739231489,0.313542366155573,2.52867614988087,2.83590345453415,3.11188649252819
"b_slp:era1989M2013320",0.916292589559142,0.710884024672997,-0.504548715332832,-0.226025228287595,0.0152289798260111,1.80241056993769,2.05227737807792,2.25112847683232
"b_slp:era1989M2013321",0.738594430191405,0.636174151458571,-0.481428929343083,-0.283620513813267,-0.0878555109709294,1.54209503195467,1.78344014661526,1.98139567715323
