"","year","SE.wind.Oct.Apr","NW.wind.Oct.Apr","SE.wind.May.Sep","NW.wind.May.Sep"
"1981",1981,0.142593811718236,0.131928900592495,0.210322580645161,0.129462365591398
"1982",1982,0.207164801404433,0.176673249945139,0.118064516129032,0.234838709677419
"1983",1983,0.101996927803379,0.14596225587009,0.14989247311828,0.104086021505376
"1984",1984,0.147068170983633,0.134562211981567,0.17505376344086,0.106236559139785
"1985",1985,0.178527540048277,0.131709457976739,0.137849462365591,0.150752688172043
"1986",1986,0.192604783849023,0.223337722185648,0.110537634408602,0.215913978494624
"1987",1987,0.084825543120474,0.207384244020189,0.249247311827957,0.156989247311828
"1988",1988,0.192822713067429,0.153631018592086,0.17010752688172,0.228172043010753
"1989",1989,0.14900153609831,0.184090410357691,0.124516129032258,0.149247311827957
"1990",1990,0.150296247531271,0.103138029405311,0.164301075268817,0.278924731182796
"1991",1991,0.189137590520079,0.116008338819399,0.215698924731183,0.0778494623655914
"1992",1992,0.15505588219715,0.146453731659516,0.163010752688172,0.144086021505376
"1993",1993,0.132082510423524,0.156265086679833,0.14494623655914,0.129677419354839
"1994",1994,0.196499890278692,0.175499231950845,0.19010752688172,0.124086021505376
"1995",1995,0.249659863945578,0.123173140223831,0.20258064516129,0.117849462365591
"1996",1996,0.103554213676572,0.182880449176333,0.190752688172043,0.189247311827957
"1997",1997,0.164614878209348,0.156385780118499,0.151182795698925,0.201075268817204
"1998",1998,0.108514373491332,0.10817423743691,0.208817204301075,0.143655913978495
"1999",1999,0.22677199912223,0.161981566820276,0.177204301075269,0.183010752688172
"2000",2000,0.204454685099846,0.176646008792839,0.143440860215054,0.144086021505376
"2001",2001,0.0788018433179724,0.194426157559798,0.235268817204301,0.0918279569892473
"2002",2002,0.219936361641431,0.179427254772877,0.176989247311828,0.143655913978495
"2003",2003,0.146247531270573,0.140432301953039,0.183655913978495,0.176989247311828
"2004",2004,0.139652523968431,0.178526405000265,0.190322580645161,0.228172043010753
"2005",2005,0.144886987052886,0.151623875356594,0.208602150537634,0.143870967741935
"2006",2006,0.229438226903665,0.170923853412333,0.295483870967742,0.0911827956989247
"2007",2007,0.280283080974325,0.156758832565284,0.260860215053763,0.17010752688172
"2008",2008,0.300095344033053,0.121658986175115,0.254623655913979,0.0980645161290323
"2009",2009,0.221362738643845,0.157713407943823,0.19010752688172,0.175913978494624
"2010",2010,0.210006583278473,0.148694316436252,0.0911827956989247,0.20989247311828
"2011",2011,0.229866140004389,0.138512179065174,0.164516129032258,0.183655913978495
"2012",2012,0.271613962603951,0.146300121828487,0.280860215053763,0.0649462365591398
"2013",2013,0.203730524467852,0.0883256528417819,0.183010752688172,0.138064516129032
"2014",2014,0.123666886109282,0.103138029405311,0.261720430107527,0.13010752688172
"2015",2015,0.126607417160413,0.136778582400702,0.223010752688172,0.194408602150538
"2016",2016,0.126728110599078,0.0894538905662376,0.215698924731183,0.124086021505376
"2017",2017,0.132696949747641,0.215799868334431,0.223010752688172,0.104731182795699
"2018",2018,0.121077463243362,0.205277594908931,0.202795698924731,0.182795698924731
"2019",2019,0.125806451612903,0.24102479701558,0.223655913978495,0.0849462365591398
"2020",2020,0.126463266062821,0.178547592563165,0.269677419354839,0.11741935483871
"2021",2021,0.149681808207154,0.126826859776169,0.164301075268817,0.110752688172043
"2022",2022,0.201755540926048,0.124314241825763,0.227956989247312,0.092258064516129
