Date,ALBSA
11/1/1984,-43.433
12/1/1984,137.355
1/1/1985,-154.935
2/1/1985,47.857
3/1/1985,50.936
4/1/1985,-97.9
5/1/1985,49
6/1/1985,-21.433
7/1/1985,75.484
8/1/1985,122.194
9/1/1985,175.367
10/1/1985,62.484
11/1/1985,145.7
12/1/1985,-91.258
1/1/1986,-233.452
2/1/1986,-113.5
3/1/1986,-101.581
4/1/1986,63.567
5/1/1986,-16.645
6/1/1986,-40
7/1/1986,106.355
8/1/1986,95.871
9/1/1986,151.467
10/1/1986,34.161
11/1/1986,-20
12/1/1986,-151.516
1/1/1987,-45.355
2/1/1987,-58.571
3/1/1987,-28.742
4/1/1987,-44.133
5/1/1987,-7.032
6/1/1987,-113.467
7/1/1987,38.677
8/1/1987,136.516
9/1/1987,51.267
10/1/1987,33.258
11/1/1987,-147.033
12/1/1987,26.258
1/1/1988,-11.807
2/1/1988,-160.897
3/1/1988,-102.903
4/1/1988,-115.467
5/1/1988,-150.71
6/1/1988,7.9
7/1/1988,34.097
8/1/1988,97.387
9/1/1988,37.667
10/1/1988,-59.581
11/1/1988,-147.766
12/1/1988,32.194
1/1/1989,135.677
2/1/1989,395.714
3/1/1989,-41.516
4/1/1989,111.567
5/1/1989,60.71
6/1/1989,19.967
7/1/1989,177.065
8/1/1989,124.29
9/1/1989,30.633
10/1/1989,112.29
11/1/1989,-20.467
12/1/1989,-119.194
1/1/1990,-58.484
2/1/1990,52.929
3/1/1990,71.323
4/1/1990,17.7
5/1/1990,14.129
6/1/1990,77.767
7/1/1990,39.645
8/1/1990,101.097
9/1/1990,10.167
10/1/1990,27.548
11/1/1990,139.433
12/1/1990,92.581
1/1/1991,-20.065
2/1/1991,-173.357
3/1/1991,220.516
4/1/1991,-50.833
5/1/1991,-24.323
6/1/1991,8.467
7/1/1991,76.161
8/1/1991,56.581
9/1/1991,-113.267
10/1/1991,57.387
11/1/1991,-139.033
12/1/1991,-36.677
1/1/1992,-184.839
