"year","south.sst.ndjfm","south.sst.amj","north.sst.ndjfm","north.sst.amj","AO.jfm","SE.wind.Oct.Apr","NW.wind.Oct.Apr","SE.wind.May.Sep","NW.wind.May.Sep"
2006,1.55836332484528,2.71645797439563,-1.09872242537412,0.698089985233365,-0.642,0.229438226903665,0.170923853412333,0.295483870967742,0.0911827956989247
2007,1.77158192650036,2.40498934336651,-0.417606923255053,0.798997095136932,0.633333333333333,0.280283080974325,0.156758832565284,0.260860215053763,0.17010752688172
2008,1.39700016114447,1.84779435911296,-0.61964316313917,0.941082039565751,0.781,0.300095344033053,0.121658986175115,0.254623655913979,0.0980645161290323
2009,0.997109826350654,2.06994942824046,-1.00805677175522,1.30066993922898,0.083,0.221362738643845,0.157713407943823,0.19010752688172,0.175913978494624
2010,1.61946989584852,1.8582040189225,-0.952885808727958,0.154193556218436,-2.43066666666667,0.210006583278473,0.148694316436252,0.0911827956989247,0.20989247311828
2011,1.7410778703513,2.93914166902318,-0.88939556479454,2.28394106301394,0.44,0.229866140004389,0.138512179065174,0.164516129032258,0.183655913978495
2012,1.04580722407058,1.86528461472488,-0.877089721506292,0.688008473452294,0.261233333333333,0.271613962603951,0.146300121828487,0.280860215053763,0.0649462365591398
2013,1.07412336689455,2.69744823302752,-1.11442182443359,1.10478135853103,-1.60333333333333,0.203730524467852,0.0883256528417819,0.183010752688172,0.138064516129032
2014,2.42998509782332,4.15960388713413,-0.815222948789597,1.25873051719232,0.0949333333333333,0.123666886109282,0.103138029405311,0.261720430107527,0.13010752688172
2015,3.19602403419989,4.31403356864129,-0.814320243488659,1.60581309506387,1.32333333333333,0.126607417160413,0.136778582400702,0.223010752688172,0.194408602150538
2016,3.50711485986356,5.30060825671679,-0.471841950850053,3.17305697004,-0.397833333333333,0.126728110599078,0.0894538905662376,0.215698924731183,0.124086021505376
2017,3.17707980341382,4.0601809999825,0.790089377489957,3.02327073162252,0.884,0.132696949747641,0.215799868334431,0.223010752688172,0.104731182795699
2018,3.00665710899565,4.42727354647201,1.02703491557728,2.93353048779748,-0.369666666666667,0.121077463243362,0.205277594908931,0.202795698924731,0.182795698924731
2019,3.18607737703456,5.35569965839386,-0.418173481930386,4.23553356799212,0.852333333333333,0.125806451612903,0.24102479701558,0.223655913978495,0.0849462365591398
